PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;10y;0.017163;0.227466;-0.700000;0.001000;
5y;3m;0.010052;0.096578;-0.700000;0.001000;
5y;6m;0.015939;0.195132;-0.700000;0.001000;
5y;9m;0.018125;0.221321;-0.700000;0.001000;
5y;1y;0.024864;0.294387;-0.700000;0.001000;
5y;2y;0.026441;0.296530;-0.700000;0.001000;
5y;5y;0.023019;0.279203;-0.700000;0.001000;
5y;10y;0.012003;0.129384;-0.700000;0.001000;
10y;3m;0.362995;1.000000;-0.700000;0.689902;
10y;6m;0.372595;1.000000;-0.700000;0.650857;
10y;9m;0.008696;0.000000;-0.700000;0.001000;
10y;1y;0.009685;0.027832;-0.700000;0.001000;
10y;2y;0.012958;0.104600;-0.700000;0.001000;
10y;5y;0.014673;0.157306;-0.700000;0.001000;
10y;10y;0.014135;0.176194;-0.700000;0.001000;
15y;3m;0.323721;1.000000;-0.700000;0.861113;
15y;6m;0.335520;1.000000;-0.700000;0.722542;
15y;9m;0.333599;1.000000;-0.700000;0.609443;
15y;1y;0.008843;0.000000;-0.700000;0.005732;
15y;2y;0.045190;0.452439;-0.700000;0.204666;
15y;5y;0.013659;0.152391;-0.700000;0.001000;
15y;10y;0.015783;0.231837;-0.700000;0.001000;
30y;3m;0.349516;1.000000;-0.700000;0.873710;
30y;6m;0.358983;1.000000;-0.700000;0.746600;
30y;9m;0.357777;1.000000;-0.700000;0.679489;
30y;1y;0.009001;0.000000;-0.700000;0.045030;
30y;2y;0.010779;0.052566;-0.700000;0.001000;
30y;5y;0.013321;0.140712;-0.700000;0.001000;
30y;10y;0.016499;0.247669;-0.700000;0.001000;
3y9m;2y2m;0.357192;0.968805;-0.700000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006831;0.000000;-0.900000;0.078198;
2y;6m;0.006800;0.000000;-0.900000;0.001000;
2y;9m;0.012372;0.143465;-0.900000;0.001000;
2y;1y;0.062110;0.519891;-0.900000;0.001000;
2y;2y;0.008046;0.000000;-0.900000;0.001000;
2y;5y;0.032893;0.371304;-0.900000;0.001000;
2y;10y;0.017197;0.228065;-0.900000;0.001000;
5y;3m;0.010037;0.096295;-0.900000;0.001000;
5y;6m;0.015953;0.195350;-0.900000;0.001000;
5y;9m;0.018187;0.222123;-0.900000;0.001000;
5y;1y;0.024898;0.294738;-0.900000;0.001000;
5y;2y;0.026456;0.296680;-0.900000;0.001000;
5y;5y;0.023073;0.279879;-0.900000;0.001000;
5y;10y;0.012020;0.129822;-0.900000;0.001000;
10y;3m;0.008417;0.000000;-0.900000;0.028058;
10y;6m;0.008700;0.000000;-0.900000;0.001000;
10y;9m;0.008696;0.000000;-0.900000;0.001000;
10y;1y;0.009701;0.028260;-0.900000;0.001000;
10y;2y;0.013013;0.105718;-0.900000;0.001000;
10y;5y;0.014660;0.157067;-0.900000;0.001000;
10y;10y;0.014137;0.176254;-0.900000;0.001000;
