PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
5y;6m;0.124418;0.711869;-0.300000;0.641290;
5y;9m;0.122231;0.706261;-0.300000;0.585889;
5y;1y;0.149533;0.754823;-0.300000;0.533222;
5y;2y;0.113687;0.687996;-0.300000;0.450650;
5y;5y;0.097270;0.701940;-0.300000;0.378725;
5y;10y;0.056316;0.602755;-0.300000;0.359563;
10y;3m;0.052954;0.503493;-0.300000;0.675847;
10y;6m;0.065839;0.555192;-0.300000;0.664810;
10y;9m;0.058240;0.523795;-0.300000;0.604403;
10y;1y;0.049340;0.477198;-0.300000;0.507384;
10y;2y;0.053739;0.507182;-0.300000;0.425741;
10y;5y;0.071788;0.631464;-0.300000;0.406744;
10y;10y;0.059096;0.603752;-0.300000;0.349742;
15y;3m;0.009528;0.037714;-0.300000;0.579327;
15y;6m;0.019668;0.230180;-0.300000;0.544882;
15y;9m;0.030512;0.353420;-0.300000;0.497399;
15y;1y;0.037979;0.412186;-0.300000;0.464418;
15y;2y;0.051204;0.502500;-0.300000;0.457612;
15y;5y;0.079505;0.667506;-0.300000;0.439605;
15y;10y;0.057611;0.601589;-0.300000;0.309394;
30y;3m;0.012310;0.097953;-0.300000;0.589559;
30y;6m;0.022790;0.261829;-0.300000;0.560099;
30y;9m;0.027953;0.319739;-0.300000;0.520168;
30y;1y;0.025727;0.295051;-0.300000;0.450026;
30y;2y;0.044479;0.451271;-0.300000;0.443768;
30y;5y;0.067165;0.605154;-0.300000;0.437393;
30y;10y;0.061244;0.617948;-0.300000;0.313654;
3y9m;2y2m;0.356166;0.968026;-0.300000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005896;0.000000;-0.500000;1.230072;
2y;6m;0.007927;0.066018;-0.500000;1.170247;
2y;9m;0.047458;0.465992;-0.500000;0.965543;
2y;1y;0.061977;0.519409;-0.500000;0.001000;
2y;2y;0.270486;0.889081;-0.500000;1.277551;
2y;5y;0.318862;1.000000;-0.500000;0.418853;
2y;10y;0.244155;1.000000;-0.500000;0.397187;
5y;3m;0.194615;0.826949;-0.500000;0.785662;
5y;6m;0.383379;0.983777;-0.500000;0.762334;
5y;9m;0.405765;1.000000;-0.500000;0.715491;
5y;1y;0.407359;1.000000;-0.500000;0.611935;
5y;2y;0.385150;1.000000;-0.500000;0.561018;
5y;5y;0.291663;1.000000;-0.500000;0.436633;
5y;10y;0.237721;1.000000;-0.500000;0.445883;
10y;3m;0.254216;0.917652;-0.500000;0.804287;
10y;6m;0.323448;0.976598;-0.500000;0.800057;
10y;9m;0.272156;0.933622;-0.500000;0.736278;
10y;1y;0.201074;0.852630;-0.500000;0.629618;
10y;2y;0.204128;0.870343;-0.500000;0.536772;
10y;5y;0.271046;0.999992;-0.500000;0.485180;
10y;10y;0.256574;0.999989;-0.500000;0.453344;
15y;3m;0.045997;0.469897;-0.500000;0.714011;
15y;6m;0.316955;0.999511;-0.500000;0.871629;
15y;9m;0.130181;0.751369;-0.500000;0.614935;
15y;1y;0.153666;0.795638;-0.500000;0.577789;
15y;2y;0.216824;0.898377;-0.500000;0.572243;
15y;5y;0.275356;1.000000;-0.500000;0.502414;
15y;10y;0.223128;0.954555;-0.500000;0.408406;
30y;3m;0.056259;0.510224;-0.500000;0.730160;
30y;6m;0.099401;0.660810;-0.500000;0.693399;
30y;9m;0.117136;0.707657;-0.500000;0.649142;
30y;1y;0.096477;0.653094;-0.500000;0.574501;
30y;2y;0.170592;0.814043;-0.500000;0.563503;
30y;5y;0.296671;0.999024;-0.500000;0.551984;
30y;10y;0.241043;0.970146;-0.500000;0.416375;
3y9m;2y2m;0.356614;0.968362;-0.500000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.011311;0.138628;-0.700000;1.469818;
2y;6m;0.065187;0.515094;-0.700000;1.327779;
2y;9m;0.391048;0.916953;-0.700000;1.145501;
2y;1y;0.062139;0.519991;-0.700000;0.001000;
2y;2y;0.610448;1.000000;-0.700000;1.498137;
2y;5y;0.032788;0.370431;-0.700000;0.001000;
2y;10y;0.017158;0.227380;-0.700000;0.001000;
5y;3m;0.010035;0.096201;-0.700000;0.001000;
5y;6m;0.015939;0.195131;-0.700000;0.001000;
5y;9m;0.018144;0.221569;-0.700000;0.001000;
5y;1y;0.024884;0.294580;-0.700000;0.001000;
5y;2y;0.026428;0.296417;-0.700000;0.001000;
5y;5y;0.023035;0.279401;-0.700000;0.001000;
5y;10y;0.011992;0.129141;-0.700000;0.001000;
10y;3m;0.363458;0.999998;-0.700000;0.685622;
10y;6m;0.372551;0.999957;-0.700000;0.649851;
10y;9m;0.008695;0.000000;-0.700000;0.001000;
10y;1y;0.009687;0.027878;-0.700000;0.001000;
10y;2y;0.012957;0.104577;-0.700000;0.001000;
10y;5y;0.014633;0.156515;-0.700000;0.001000;
10y;10y;0.014136;0.176191;-0.700000;0.001000;
15y;3m;0.322516;0.999978;-0.700000;0.860854;
15y;6m;0.396534;1.000000;-0.700000;0.032463;
15y;9m;0.333024;0.999511;-0.700000;0.609336;
15y;1y;0.042958;0.434493;-0.700000;0.240907;
15y;2y;0.010627;0.052887;-0.700000;0.001000;
15y;5y;0.013639;0.152009;-0.700000;0.001000;
15y;10y;0.015770;0.231636;-0.700000;0.001000;
30y;3m;0.349333;0.999999;-0.700000;0.873618;
30y;6m;0.358947;1.000000;-0.700000;0.747045;
30y;9m;0.356896;0.999988;-0.700000;0.679801;
30y;1y;0.009000;0.000000;-0.700000;0.044451;
30y;2y;0.010769;0.052325;-0.700000;0.001000;
30y;5y;0.059703;0.546215;-0.700000;0.204767;
30y;10y;0.016508;0.247821;-0.700000;0.001000;
3y9m;2y2m;0.357340;0.968927;-0.700000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.514066;1.000000;-0.900000;3.903522;
2y;6m;0.006800;0.000000;-0.900000;0.001000;
2y;9m;0.012373;0.143500;-0.900000;0.001000;
2y;1y;0.062093;0.519828;-0.900000;0.001000;
2y;2y;0.008045;0.000000;-0.900000;0.001000;
2y;5y;0.348997;0.999511;-0.900000;0.253228;
2y;10y;0.017194;0.227987;-0.900000;0.001000;
5y;3m;0.010056;0.096637;-0.900000;0.001000;
5y;6m;0.015975;0.195662;-0.900000;0.001000;
5y;9m;0.018173;0.221940;-0.900000;0.001000;
5y;1y;0.024918;0.294928;-0.900000;0.001000;
5y;2y;0.026470;0.296810;-0.900000;0.001000;
5y;5y;0.023065;0.279758;-0.900000;0.001000;
5y;10y;0.012024;0.129907;-0.900000;0.001000;
10y;3m;0.008414;0.000000;-0.900000;0.028389;
10y;6m;0.386693;0.999511;-0.900000;0.478263;
10y;9m;0.008694;0.000000;-0.900000;0.001000;
10y;1y;0.009704;0.028365;-0.900000;0.001000;
10y;2y;0.012989;0.105241;-0.900000;0.001000;
10y;5y;0.306965;0.999512;-0.900000;0.301665;
10y;10y;0.014181;0.177115;-0.900000;0.001000;
15y;3m;0.008772;0.000000;-0.900000;0.180550;
15y;6m;0.350415;0.999511;-0.900000;0.532226;
15y;9m;0.008806;0.000000;-0.900000;0.037865;
15y;1y;0.345841;0.999511;-0.900000;0.421834;
15y;2y;0.010655;0.053621;-0.900000;0.001000;
